Model,Station,RMSE,MAE,MAPE,R²
Persistence lag-1,Sector-1,27.79,20.13,9.14,0.936
Persistence lag-1,Sector-62,31.11,20.0,9.94,0.917
Persistence lag-7,Sector-1,32.0,23.33,11.31,0.9151
Persistence lag-7,Sector-62,34.64,23.28,11.78,0.8971
Linear Regression,Sector-1,12.73,9.7,5.92,0.9866
Linear Regression,Sector-62,13.18,9.47,5.34,0.9851
Ridge (α=1.0),Sector-1,12.72,9.7,5.92,0.9866
Ridge (α=1.0),Sector-62,13.22,9.48,5.35,0.985
Decision Tree (depth=15),Sector-1,2.62,0.49,0.29,0.9994
Decision Tree (depth=15),Sector-62,1.36,0.36,0.27,0.9998
Random Forest,Sector-1,7.47,5.08,2.68,0.9954
Random Forest,Sector-62,8.98,5.29,3.02,0.9931
Gradient Boosting,Sector-1,5.08,3.57,1.97,0.9979
Gradient Boosting,Sector-62,5.49,3.64,2.06,0.9974
Hist Gradient Boosting,Sector-1,1.84,0.92,0.55,0.9997
Hist Gradient Boosting,Sector-62,1.13,0.75,0.46,0.9999
