feature,Winter,Spring,Summer,Monsoon,Post-Monsoon
lag_pm25_7,118.84426229451091,191.47753064175288,252.27147967929506,256.1563809657817,449.2617235352635
lag_aqi_30,118.8442622940731,191.47753064127312,252.27147967908823,256.15638096550373,449.2617235341152
station_encoded,118.84426209090877,191.4775303499357,252.27147936989,256.1563806576283,449.2617228598461
year,118.84426209089345,191.4775303499113,252.27147936985776,256.1563806575956,449.2617228597885
interact_co_pm25,118.84426209088345,191.47753034989506,252.27147936983658,256.15638065757406,449.26172285975065
cos_day_of_week,118.8442620908275,191.4775303498047,252.27147936971747,256.1563806574529,449.2617228595389
wind_speed,118.84426209048026,191.47753034912944,252.27147936943618,256.1563806568114,449.26172285769843
roll_std_pm25_7,118.84426178213145,191.477529810843,252.27147857025048,256.15637983967594,449.26172158376716
pm25,36.00150313289505,41.0094796661897,190.4387169179524,202.12859137861477,80.76528221610252
interact_pm25_pm10_ratio,19.28590230756704,31.213882356697003,42.17436582640421,42.23702533863944,72.6900803821113
lag_pm10_1,19.432289488350143,31.283032984678478,41.2400365527509,41.84678893951191,73.40410696247184
lag_aqi_14,19.421122527326986,31.270931771018297,41.25767511544278,41.868808065995815,73.36663128804238
roll_mean_aqi_30,19.421393046044777,31.26699345416389,41.25099691839681,41.868804830719725,73.36791607327582
temperature,19.415663506048865,31.27002718526345,41.245271088249865,41.87180150395238,73.36628586056877
roll_trend_aqi_7,19.421451114970377,31.281698065460603,41.21320710214859,41.822188203798,73.35594543223185
roll_aqi_momentum,19.418917645098098,31.292044640590735,41.20707996474747,41.81838071145538,73.35381537566023
lag_no2_1,19.420528794268893,31.271913126462163,41.19661396014184,41.830679342178904,73.36406173653369
sin_day_of_year,19.41840338830028,31.281587029794892,41.20098981867129,41.816182473960495,73.35635323357994
roll_trend_aqi_30,19.420442732546046,31.27230265687896,41.19832087211134,41.82057750445439,73.36609308806464
pressure,19.421154427809217,31.266837280363646,41.222984889614175,41.789750628348095,73.36405572953923
sin_day_of_week,19.42236695247393,31.272112777119418,41.18248572490482,41.82389554971989,73.3716140945579
lag_pm25_1,19.42286408244111,31.27065539407425,41.18248322225619,41.82489012143289,73.36920086482108
season_Summer,19.421666367965468,31.270436359650066,41.181593724258626,41.82321458497689,73.36868694744375
is_weekend,19.421462427226647,31.270107808824676,41.18116088417106,41.82277506831847,73.36791607328023
is_stubble_burning,19.42146242722665,31.27010780882468,41.181160884171085,41.822775068318464,73.36791607328026
interact_wind_speed_sq,19.421462427224796,31.27010780882186,41.18116088416799,41.822775068315075,73.36791607327343
season_Monsoon,19.42112252732669,31.269560226261287,41.18043948685297,41.82204254342593,73.36663128804196
interact_pm25_stubble,19.421122527327004,31.269560226261476,41.180439486852514,41.822042543425276,73.36663128804233
lag_aqi_1,19.42058163953297,31.27259589365756,41.18668437891773,41.806964238227614,73.37617400193878
humidity,19.417253168026523,31.269379494986723,41.18654575239577,41.81951171627282,73.36603113973162
nh3,19.42087286064279,31.25959098436538,41.19038925313049,41.817374709469476,73.36454085139454
is_diwali,19.420442732546544,31.268465069220433,41.17899670286743,41.82057750445562,73.36406173653708
cos_month,19.420442732546547,31.26846506922044,41.17899670286738,41.82057750445562,73.3640617365371
roll_episode_flag,19.420442732546036,31.26846506921958,41.17899670286619,41.820577504454285,73.36406173653506
o3,19.420412519816548,31.269427887331357,41.18040256294335,41.81452894100952,73.36641784060552
lag_wind_speed_1,19.417034501236497,31.271651263828073,41.169107802408895,41.82486635909061,73.36726556692435
roll_std_aqi_7,19.42177625221702,31.267405850442827,41.17122504923705,41.82108722932255,73.35702561172994
so2,19.41840338829976,31.26173373807844,41.18115788791303,41.82130526441117,73.3600278436655
interact_temp_o3,19.418917978049304,31.265439584351423,41.17694401478681,41.81922384839559,73.35635323356837
interact_lag_aqi1_winter,19.419543329861945,31.26517966268999,41.17466843600941,41.81618247395509,73.35635323357319
lag_temperature_1,19.428489597429117,31.26675991281777,41.16634572895789,41.80328443627033,73.36663128803563
quarter,19.418427862557,31.265179662692233,41.174668436013576,41.81618247396051,73.35642150952062
season_Winter,19.418403388300252,31.265179662692255,41.17466843601371,41.816182473960836,73.35635323357984
station_season_mean_winter,19.418403388300252,31.265179662692226,41.17466843601377,41.816182473960716,73.35635323357994
is_covid_lockdown,19.418403388300252,31.26517966269226,41.174668436013675,41.81618247396074,73.35635323357988
sin_month,19.418403388300252,31.26517966269222,41.17466843601372,41.81618247396075,73.35635323357991
season_Spring,19.41840338830027,31.265179662692237,41.174668436013626,41.81618247396053,73.35635323357992
co,19.393347945839615,31.265560563448034,41.19577907559828,41.82562743470643,73.35635323357164
no2,19.420301955095074,31.23486496354037,41.176652273264956,41.81398884494842,73.29517751279512
cos_day_of_year,19.420442732546544,31.265010538073565,41.13993645180257,41.790715268865334,73.36406173653707
lag_co_1,19.41840338829806,31.240690961187866,41.15270865801241,41.79559300157012,73.37085942711225
lag_aqi_7,19.420344582151117,31.2664387927847,41.13281089973014,41.77347545681403,73.37559026990951
interact_pm10_wind_accum,19.42041212666067,31.251286295070773,41.1691061453787,41.75877614200341,73.31319192728971
interact_pm25_humidity,19.44066124495441,31.223299925546875,41.05271462363837,41.78206327527526,73.27355580124421
roll_mean_pm10_7,19.420587656711433,31.231510242688643,41.04512569771488,41.65370737995904,73.3680233053702
roll_mean_aqi_7,19.421462427225453,31.263977212290357,41.00515776444383,41.48111519348206,73.37400719166925
roll_mean_pm25_7,19.4211225273279,31.234335361679165,40.82498507026181,41.640066305079415,73.40830679401915
aqi_saturated,19.30919805899872,31.089352907239622,40.943115602999,41.58102103099595,72.94381736701328
pm10,19.820159250624574,30.653018256884433,27.73777622001757,22.410649789443713,72.38045555213179
