feature,perm_importance_mean,perm_importance_std,category,rank,mean_abs_shap
pm25,142.7179,2.2352,Raw Pollutant/Meteo,1,101.59256717119335
pm10,16.0943,0.1599,Raw Pollutant/Meteo,2,27.42852924980402
interact_pm25_pm10_ratio,1.3295,0.049,Interaction,3,33.91176282765113
interact_co_pm25,0.6182,0.0738,Interaction,4,206.49041908097678
lag_aqi_14,0.0565,0.0087,Lag,5,33.745188979975445
roll_mean_pm25_7,0.0394,0.0312,Rolling,6,33.60603536963035
roll_mean_aqi_7,0.014,0.0113,Rolling,7,33.62325347502578
roll_trend_aqi_7,0.0125,0.0084,Rolling,8,33.72948862362963
roll_mean_pm10_7,0.012,0.0054,Rolling,9,33.653320989421694
interact_pm25_humidity,0.0064,0.0141,Interaction,10,33.67612477019095
co,0.0057,0.0016,Raw Pollutant/Meteo,11,33.7133864806231
cos_day_of_year,0.0046,0.0029,Cyclical,12,33.70452483479758
lag_aqi_30,0.0037,0.0021,Lag,13,206.49041937185305
interact_pm10_wind_accum,0.0034,0.0051,Interaction,14,33.69947674047661
roll_aqi_momentum,0.003,0.0035,Rolling,15,33.7288737005467
roll_mean_aqi_30,0.0025,0.0023,Rolling,16,33.74300669894529
lag_aqi_1,0.002,0.0018,Lag,17,33.71993551222387
lag_aqi_7,0.0016,0.0047,Lag,18,33.7009923408975
lag_co_1,0.0015,0.0008,Lag,19,33.70238834678282
roll_trend_aqi_30,0.0009,0.0008,Rolling,20,33.72409808801842
humidity,0.0007,0.0025,Raw Pollutant/Meteo,21,33.7196319453508
sin_day_of_year,0.0007,0.0017,Cyclical,22,33.72479420368406
cos_day_of_week,0.0006,0.0004,Cyclical,23,206.49041908087958
pressure,0.0005,0.0051,Raw Pollutant/Meteo,24,33.723147070276944
lag_pm25_7,0.0002,0.0011,Lag,25,206.49041937226326
wind_speed,0.0002,0.001,Raw Pollutant/Meteo,26,206.4904190803379
interact_lag_aqi1_winter,0.0002,0.0003,Interaction,27,33.71573110120774
lag_pm25_1,0.0001,0.0004,Lag,28,33.721976052815954
station_encoded,0.0,0.0,Station,29,206.4904190810208
station_season_mean_winter,0.0,0.0,Station,30,33.715354973027054
year,0.0,0.0,Raw Pollutant/Meteo,31,206.49041908099449
season_Monsoon,0.0,0.0,Season,32,33.72007897347819
quarter,0.0,0.0001,Raw Pollutant/Meteo,33,33.715366949886196
is_covid_lockdown,0.0,0.0,Event,34,33.715354973027054
is_weekend,0.0,0.0,Event,35,33.72066948660175
is_diwali,0.0,0.0,Event,36,33.7188979559504
roll_episode_flag,0.0,0.0,Rolling,37,33.71889795594943
aqi_saturated,0.0,0.0,Raw Pollutant/Meteo,38,33.5257492708358
season_Winter,0.0,0.0,Season,39,33.715354973027075
season_Spring,0.0,0.0,Season,40,33.71535497302702
season_Summer,0.0,0.0,Season,41,33.72102379586445
sin_month,0.0,0.0,Cyclical,42,33.715354973027054
cos_month,0.0,0.0,Cyclical,43,33.718897955950396
interact_pm25_stubble,0.0,0.0,Interaction,44,33.72007897347814
interact_wind_speed_sq,0.0,0.0,Interaction,45,33.72066948659882
is_stubble_burning,0.0,0.0,Event,46,33.720669486601714
sin_day_of_week,-0.0001,0.0002,Cyclical,47,33.72210954692742
lag_no2_1,-0.0003,0.0003,Lag,48,33.72526308422547
o3,-0.0003,0.001,Raw Pollutant/Meteo,49,33.718520484132746
lag_temperature_1,-0.0005,0.0013,Lag,50,33.715620376499686
so2,-0.0008,0.0022,Raw Pollutant/Meteo,51,33.71707627603385
nh3,-0.0011,0.0013,Raw Pollutant/Meteo,52,33.71901697383963
roll_std_pm25_7,-0.0015,0.0015,Rolling,53,206.49041847160552
roll_std_aqi_7,-0.0017,0.0017,Rolling,54,33.71708654432581
interact_temp_o3,-0.0018,0.0006,Interaction,55,33.71659605051972
lag_wind_speed_1,-0.0021,0.0009,Lag,56,33.71724026194437
temperature,-0.0026,0.0016,Raw Pollutant/Meteo,57,33.740962780062226
no2,-0.0029,0.0021,Raw Pollutant/Meteo,58,33.7057296710189
lag_pm10_1,-0.0055,0.0021,Lag,59,33.74614944206116
